Ceremony,Year,Class,Category,Movie,Name,Nominees,Winner,Detail,Note
83,2010,Title,FOREIGN LANGUAGE FILM,Biutiful,Mexico,,,,
83,2010,Title,FOREIGN LANGUAGE FILM,Dogtooth,Greece,,,,
83,2010,Title,FOREIGN LANGUAGE FILM,In a Better World,Denmark,,True,,
83,2010,Title,FOREIGN LANGUAGE FILM,Incendies,Canada,,,,
83,2010,Title,FOREIGN LANGUAGE FILM,Outside the Law (Hors-la-loi),Algeria,,,,
84,2011,Title,FOREIGN LANGUAGE FILM,Bullhead,Belgium,,,,
84,2011,Title,FOREIGN LANGUAGE FILM,Footnote,Israel,,,,
84,2011,Title,FOREIGN LANGUAGE FILM,In Darkness,Poland,,,,
84,2011,Title,FOREIGN LANGUAGE FILM,Monsieur Lazhar,Canada,,,,
84,2011,Title,FOREIGN LANGUAGE FILM,A Separation,Iran,,True,,
85,2012,Title,FOREIGN LANGUAGE FILM,Amour,Austria,,True,,
85,2012,Title,FOREIGN LANGUAGE FILM,Kon-Tiki,Norway,,,,
85,2012,Title,FOREIGN LANGUAGE FILM,No,Chile,,,,
85,2012,Title,FOREIGN LANGUAGE FILM,A Royal Affair,Denmark,,,,
85,2012,Title,FOREIGN LANGUAGE FILM,War Witch,Canada,,,,
86,2013,Title,FOREIGN LANGUAGE FILM,The Broken Circle Breakdown,Belgium,,,,
86,2013,Title,FOREIGN LANGUAGE FILM,The Great Beauty,Italy,,True,,
86,2013,Title,FOREIGN LANGUAGE FILM,The Hunt,Denmark,,,,
86,2013,Title,FOREIGN LANGUAGE FILM,The Missing Picture,Cambodia,,,,
86,2013,Title,FOREIGN LANGUAGE FILM,Omar,Palestine,,,,
87,2014,Title,FOREIGN LANGUAGE FILM,Ida,Poland,,True,,
87,2014,Title,FOREIGN LANGUAGE FILM,Leviathan,Russia,,,,
87,2014,Title,FOREIGN LANGUAGE FILM,Tangerines,Estonia,,,,
87,2014,Title,FOREIGN LANGUAGE FILM,Timbuktu,Mauritania,,,,
87,2014,Title,FOREIGN LANGUAGE FILM,Wild Tales,Argentina,,,,
88,2015,Title,FOREIGN LANGUAGE FILM,Embrace of the Serpent,Colombia,,,,
88,2015,Title,FOREIGN LANGUAGE FILM,Mustang,France,,,,
88,2015,Title,FOREIGN LANGUAGE FILM,Son of Saul,Hungary,,True,,
88,2015,Title,FOREIGN LANGUAGE FILM,Theeb,Jordan,,,,
88,2015,Title,FOREIGN LANGUAGE FILM,A War,Denmark,,,,
89,2016,Title,FOREIGN LANGUAGE FILM,Land of Mine,Denmark,,,,
89,2016,Title,FOREIGN LANGUAGE FILM,A Man Called Ove,Sweden,,,,
89,2016,Title,FOREIGN LANGUAGE FILM,The Salesman,Iran,,True,,
89,2016,Title,FOREIGN LANGUAGE FILM,Tanna,Australia,,,,
89,2016,Title,FOREIGN LANGUAGE FILM,Toni Erdmann,Germany,,,,
90,2017/B,Title,FOREIGN LANGUAGE FILM,A Fantastic Woman,Chile,,True,,
90,2017/B,Title,FOREIGN LANGUAGE FILM,The Insult,Lebanon,,,,
90,2017/B,Title,FOREIGN LANGUAGE FILM,Loveless,Russia,,,,
90,2017/B,Title,FOREIGN LANGUAGE FILM,On Body and Soul,Hungary,,,,
90,2017/B,Title,FOREIGN LANGUAGE FILM,The Square,Sweden,,,,
90,2017/B,Special,SPECIAL AWARD,CARNE y ARENA,,Alejandro G. Iñárritu,True,,
91,2018,Title,FOREIGN LANGUAGE FILM,Capernaum,Lebanon,,,,
91,2018,Title,FOREIGN LANGUAGE FILM,Cold War,Poland,,,,
91,2018,Title,FOREIGN LANGUAGE FILM,Never Look Away,Germany,,,,
91,2018,Title,FOREIGN LANGUAGE FILM,Roma,Mexico,,True,,
91,2018,Title,FOREIGN LANGUAGE FILM,Shoplifters,Japan,,,,
92,2019,Title,INTERNATIONAL FEATURE FILM,Corpus Christi,Poland,,,,
